Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
23-24,345,1,New London-Spicer School District,2,775,1,Kerkhoven-Murdock-Sunburg
23-24,345,1,New London-Spicer School District,4,777,1,Benson Public School District
23-24,345,1,New London-Spicer School District,2,815,2,Prinsburg Public School District
23-24,345,1,New London-Spicer School District,3,2159,1,Buffalo Lake-Hector-Stewart Public Schools
23-24,345,1,New London-Spicer School District,9,2180,1,MACCRAY School District
23-24,345,1,New London-Spicer School District,39,2364,1,Belgrade-Brooten-Elrosa Public School District
23-24,345,1,New London-Spicer School District,38,2396,1,A.C.G.C. Public School District
23-24,345,1,New London-Spicer School District,1,2534,1,Bird Island-Olivia-Lake Lillian Public School District
23-24,345,1,New London-Spicer School District,1,2853,1,Lac qui Parle Valley School District
23-24,345,1,New London-Spicer School District,1,2890,1,Renville County West School District
23-24,347,1,Willmar Public School District,1,77,1,Mankato Public School District
23-24,347,1,Willmar Public School District,1,206,1,Alexandria Public School District
23-24,347,1,Willmar Public School District,57,345,1,New London-Spicer School District
23-24,347,1,Willmar Public School District,5,465,1,Litchfield Public School District
23-24,347,1,Willmar Public School District,8,775,1,Kerkhoven-Murdock-Sunburg
23-24,347,1,Willmar Public School District,4,815,2,Prinsburg Public School District
23-24,347,1,Willmar Public School District,1,2149,1,Minnewaska School District
23-24,347,1,Willmar Public School District,28,2180,1,MACCRAY School District
23-24,347,1,Willmar Public School District,23,2396,1,A.C.G.C. Public School District
23-24,347,1,Willmar Public School District,15,2534,1,Bird Island-Olivia-Lake Lillian Public School District
23-24,356,1,Lancaster Public School District,24,2171,1,Kittson Central School District
23-24,356,1,Lancaster Public School District,34,2358,1,Tri-County School District
23-24,356,1,Lancaster Public School District,2,2683,1,Greenbush Middle River School District
23-24,361,1,International Falls School District,8,362,1,Littlefork-Big Falls School District
23-24,361,1,International Falls School District,12,363,1,South Koochiching School District
23-24,361,1,International Falls School District,2,390,1,Lake of the Woods School District
23-24,361,1,International Falls School District,3,2142,1,St. Louis County School District
23-24,362,1,Littlefork-Big Falls School District,166,361,1,International Falls School District
23-24,362,1,Littlefork-Big Falls School District,25,363,1,South Koochiching School District
23-24,362,1,Littlefork-Big Falls School District,1,690,1,Warroad Public School District
23-24,362,1,Littlefork-Big Falls School District,1,701,1,Hibbing Public School District
23-24,362,1,Littlefork-Big Falls School District,7,2142,1,St. Louis County School District
23-24,363,1,South Koochiching School District,26,32,1,Blackduck Public School District
23-24,363,1,South Koochiching School District,7,36,1,Kelliher Public School District
23-24,363,1,South Koochiching School District,26,38,1,Red Lake Public School District
23-24,363,1,South Koochiching School District,4,317,1,Deer River Public School District
23-24,363,1,South Koochiching School District,26,318,1,Grand Rapids Public School District
23-24,363,1,South Koochiching School District,8,362,1,Littlefork-Big Falls School District
23-24,378,1,Dawson-Boyd Public School District,21,129,1,Montevideo Public School District
23-24,378,1,Dawson-Boyd Public School District,7,891,1,Canby Public School District
23-24,378,1,Dawson-Boyd Public School District,36,2190,1,Yellow Medicine East
23-24,378,1,Dawson-Boyd Public School District,88,2853,1,Lac qui Parle Valley School District
23-24,378,1,Dawson-Boyd Public School District,1,2903,1,Ortonville Public Schools
23-24,381,1,Lake Superior Public School District,12,709,1,Duluth Public School District
23-24,390,1,Lake of the Woods School District,1,361,1,International Falls School District
23-24,390,1,Lake of the Woods School District,17,363,1,South Koochiching School District
23-24,390,1,Lake of the Woods School District,1,682,1,Roseau Public School District
23-24,390,1,Lake of the Woods School District,12,690,1,Warroad Public School District
23-24,391,1,Cleveland Public School District,1,75,1,St. Clair Public School District
23-24,391,1,Cleveland Public School District,85,77,1,Mankato Public School District
23-24,391,1,Cleveland Public School District,2,88,1,New Ulm Public School District
23-24,391,1,Cleveland Public School District,2,507,1,Nicollet Public School District
23-24,391,1,Cleveland Public School District,63,508,1,St. Peter Public School District
23-24,391,1,Cleveland Public School District,1,742,1,St. Cloud Public School District
23-24,391,1,Cleveland Public School District,51,2143,1,Waterville-Elysian-Morristown Public School District
23-24,391,1,Cleveland Public School District,11,2397,1,Le Sueur-Henderson School District
23-24,391,1,Cleveland Public School District,6,2835,1,Janesville-Waldorf-Pemberton
23-24,391,1,Cleveland Public School District,104,2905,1,Tri-City United School District
23-24,402,1,Hendricks Public School District,1,11,1,Anoka-Hennepin Public School District
23-24,402,1,Hendricks Public School District,1,12,1,Centennial Public School District
23-24,402,1,Hendricks Public School District,1,16,1,Spring Lake Park Public Schools
23-24,402,1,Hendricks Public School District,1,31,1,Bemidji Public School District
23-24,402,1,Hendricks Public School District,1,77,1,Mankato Public School District
23-24,402,1,Hendricks Public School District,1,88,1,New Ulm Public School District
23-24,402,1,Hendricks Public School District,1,94,1,Cloquet Public School District
23-24,402,1,Hendricks Public School District,2,97,1,Moose Lake Public School District
23-24,402,1,Hendricks Public School District,4,152,1,Moorhead Area Public School District
23-24,402,1,Hendricks Public School District,1,318,1,Grand Rapids Public School District
23-24,402,1,Hendricks Public School District,1,361,1,International Falls School District
23-24,402,1,Hendricks Public School District,13,403,1,Ivanhoe Public School District
23-24,402,1,Hendricks Public School District,3,404,1,Lake Benton Public School District
23-24,402,1,Hendricks Public School District,6,413,1,Marshall Public School District
23-24,402,1,Hendricks Public School District,2,414,1,Minneota Public School District
23-24,402,1,Hendricks Public School District,1,415,1,Lynd Public School District
23-24,402,1,Hendricks Public School District,3,465,1,Litchfield Public School District
23-24,402,1,Hendricks Public School District,2,480,1,Onamia Public School District
23-24,402,1,Hendricks Public School District,2,548,1,Pelican Rapids Public School District
23-24,402,1,Hendricks Public School District,1,577,1,Willow River Public School District
23-24,402,1,Hendricks Public School District,1,621,1,Mounds View Public School District
23-24,402,1,Hendricks Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,402,1,Hendricks Public School District,2,623,1,Roseville Public School District
23-24,402,1,Hendricks Public School District,2,624,1,White Bear Lake School District
23-24,402,1,Hendricks Public School District,2,625,1,Saint Paul Public Schools
23-24,402,1,Hendricks Public School District,1,635,1,Milroy Public School District
23-24,402,1,Hendricks Public School District,1,656,1,Faribault Public School District
23-24,402,1,Hendricks Public School District,1,704,1,Proctor Public School District
23-24,402,1,Hendricks Public School District,1,720,1,Shakopee Public School District
23-24,402,1,Hendricks Public School District,1,721,1,New Prague Area Schools
23-24,402,1,Hendricks Public School District,1,726,1,Becker Public School District
23-24,402,1,Hendricks Public School District,1,756,1,Blooming Prairie Public School District
23-24,402,1,Hendricks Public School District,2,775,1,Kerkhoven-Murdock-Sunburg
23-24,402,1,Hendricks Public School District,2,831,1,Forest Lake Public School District
23-24,402,1,Hendricks Public School District,1,834,1,Stillwater Area Public Schools
23-24,402,1,Hendricks Public School District,1,836,1,Butterfield-Odin Public School District
23-24,402,1,Hendricks Public School District,3,879,1,Delano Public School District
23-24,402,1,Hendricks Public School District,4,882,1,Monticello Public School District
23-24,402,1,Hendricks Public School District,7,891,1,Canby Public School District
23-24,402,1,Hendricks Public School District,1,2134,1,United South Central School District
23-24,402,1,Hendricks Public School District,1,2135,1,Maple River School District
23-24,402,1,Hendricks Public School District,1,2143,1,Waterville-Elysian-Morristown Public School District
23-24,402,1,Hendricks Public School District,1,2184,1,Luverne Public School District
23-24,402,1,Hendricks Public School District,1,2198,1,Yellow Medicine East
23-24,402,1,Hendricks Public School District,1,2534,1,Bird Island-Olivia-Lake Lillian Public School District
23-24,402,1,Hendricks Public School District,1,2689,1,Pipestone Area School District
23-24,402,1,Hendricks Public School District,1,2753,1,Long Prairie-Grey Eagle School District
23-24,402,1,Hendricks Public School District,1,2856,1,Stephen-Argyle Central Schools
23-24,402,1,Hendricks Public School District,1,2859,1,Glencoe-Silver Lake School District
23-24,402,1,Hendricks Public School District,2,2890,1,Renville County West School District
23-24,402,1,Hendricks Public School District,3,2897,1,Redwood Area School District
23-24,402,1,Hendricks Public School District,2,2898,1,Westbrook-Walnut Grove Schools
23-24,402,1,Hendricks Public School District,4,2904,1,Tracy Area Public School District
23-24,403,1,Ivanhoe Public School District,3,402,1,Hendricks Public School District
23-24,403,1,Ivanhoe Public School District,1,891,1,Canby Public School District
23-24,403,1,Ivanhoe Public School District,1,2902,1,RTR Public Schools
23-24,404,1,Lake Benton Public School District,4,402,1,Hendricks Public School District
23-24,404,1,Lake Benton Public School District,2,403,1,Ivanhoe Public School District
23-24,404,1,Lake Benton Public School District,3,2689,1,Pipestone Area School District
23-24,404,1,Lake Benton Public School District,23,2902,1,RTR Public Schools
23-24,413,1,Marshall Public School District,1,347,1,Willmar Public School District
23-24,413,1,Marshall Public School District,3,403,1,Ivanhoe Public School District
23-24,413,1,Marshall Public School District,12,414,1,Minneota Public School District
23-24,413,1,Marshall Public School District,28,415,1,Lynd Public School District
23-24,413,1,Marshall Public School District,12,635,1,Milroy Public School District
23-24,413,1,Marshall Public School District,5,640,1,Wabasso Public School District
23-24,413,1,Marshall Public School District,1,2135,1,Maple River School District
23-24,413,1,Marshall Public School District,14,2167,1,Lakeview School District
23-24,413,1,Marshall Public School District,1,2169,1,Murray County Central Schools
23-24,413,1,Marshall Public School District,7,2190,1,Yellow Medicine East
23-24,413,1,Marshall Public School District,1,2884,1,Red Rock Central School District
23-24,413,1,Marshall Public School District,2,2897,1,Redwood Area School District
23-24,413,1,Marshall Public School District,2,2898,1,Westbrook-Walnut Grove Schools
23-24,413,1,Marshall Public School District,26,2902,1,RTR Public Schools
23-24,413,1,Marshall Public School District,41,2904,1,Tracy Area Public School District
23-24,414,1,Minneota Public School District,1,402,1,Hendricks Public School District
23-24,414,1,Minneota Public School District,8,403,1,Ivanhoe Public School District
23-24,414,1,Minneota Public School District,2,404,1,Lake Benton Public School District
23-24,414,1,Minneota Public School District,35,413,1,Marshall Public School District
23-24,414,1,Minneota Public School District,15,415,1,Lynd Public School District
23-24,414,1,Minneota Public School District,30,891,1,Canby Public School District
23-24,414,1,Minneota Public School District,5,2190,1,Yellow Medicine East
23-24,414,1,Minneota Public School District,2,2902,1,RTR Public Schools
23-24,414,1,Minneota Public School District,1,2904,1,Tracy Area Public School District
23-24,415,1,Lynd Public School District,1,404,1,Lake Benton Public School District
23-24,415,1,Lynd Public School District,99,413,1,Marshall Public School District
23-24,415,1,Lynd Public School District,1,518,1,Worthington Public School District
23-24,415,1,Lynd Public School District,2,640,1,Wabasso Public School District
23-24,415,1,Lynd Public School District,9,2902,1,RTR Public Schools
23-24,415,1,Lynd Public School District,2,2904,1,Tracy Area Public School District
23-24,423,1,Hutchinson Public School District,1,191,1,Burnsville-Eagan-Savage School District
23-24,423,1,Hutchinson Public School District,1,424,1,Lester Prairie Public School District
23-24,423,1,Hutchinson Public School District,36,465,1,Litchfield Public School District
23-24,423,1,Hutchinson Public School District,17,466,1,Dassel-Cokato Public School District
23-24,423,1,Hutchinson Public School District,1,728,1,Elk River Public School District
23-24,423,1,Hutchinson Public School District,1,877,1,Buffalo-Hanover-Montrose Schools
23-24,423,1,Hutchinson Public School District,81,2159,1,Buffalo Lake-Hector-Stewart Public Schools
23-24,423,1,Hutchinson Public School District,12,2365,1,GFW Public Schools
23-24,423,1,Hutchinson Public School District,28,2396,1,A.C.G.C. Public School District
23-24,423,1,Hutchinson Public School District,7,2534,1,Bird Island-Olivia-Lake Lillian Public School District
23-24,423,1,Hutchinson Public School District,131,2859,1,Glencoe-Silver Lake School District
23-24,423,1,Hutchinson Public School District,1,2890,1,Renville County West School District
23-24,424,1,Lester Prairie Public School District,4,108,1,Central Public School District
23-24,424,1,Lester Prairie Public School District,8,110,1,Waconia Public School District
23-24,424,1,Lester Prairie Public School District,6,111,1,Watertown-Mayer Public School District
23-24,424,1,Lester Prairie Public School District,1,423,1,Hutchinson Public School District
23-24,424,1,Lester Prairie Public School District,30,2687,1,Howard Lake-Waverly-Winsted
23-24,424,1,Lester Prairie Public School District,42,2859,1,Glencoe-Silver Lake School District
23-24,432,1,Mahnomen Public School District,3,22,1,Detroit Lakes Public School District
23-24,432,1,Mahnomen Public School District,1,25,1,Pine Point Public School District
23-24,432,1,Mahnomen Public School District,2,152,1,Moorhead Area Public School District
23-24,432,1,Mahnomen Public School District,6,162,1,Bagley Public School District
23-24,432,1,Mahnomen Public School District,22,435,1,Waubun-Ogema-White Earth Schools
23-24,432,1,Mahnomen Public School District,2,599,1,Fertile-Beltrami School District
23-24,432,1,Mahnomen Public School District,7,601,1,Fosston Public School District
23-24,432,1,Mahnomen Public School District,3,2215,1,Norman County East School District
23-24,435,1,Waubun-Ogema-White Earth Schools,60,22,1,Detroit Lakes Public School District
23-24,435,1,Waubun-Ogema-White Earth Schools,3,23,1,Frazee-Vergas Public School District
23-24,435,1,Waubun-Ogema-White Earth Schools,57,432,1,Mahnomen Public School District
23-24,435,1,Waubun-Ogema-White Earth Schools,1,549,1,Perham-Dent Public School District
23-24,435,1,Waubun-Ogema-White Earth Schools,2,914,1,Ulen-Hitterdal Public School District
23-24,435,1,Waubun-Ogema-White Earth Schools,5,2215,1,Norman County East School District
23-24,441,1,Marshall County Central Schools,1,447,1,Grygla Public School District
23-24,441,1,Marshall County Central Schools,64,564,1,Thief River Falls School District
23-24,441,1,Marshall County Central Schools,1,630,1,Red Lake Falls Public School District
23-24,441,1,Marshall County Central Schools,5,2176,1,Warren-Alvarado-Oslo School District
23-24,441,1,Marshall County Central Schools,19,2358,1,Tri-County School District
23-24,441,1,Marshall County Central Schools,83,2683,1,Greenbush Middle River School District
23-24,441,1,Marshall County Central Schools,4,2856,1,Stephen-Argyle Central Schools
23-24,447,1,Grygla Public School District,4,561,1,Goodridge Public School District
23-24,447,1,Grygla Public School District,21,682,1,Roseau Public School District
23-24,447,1,Grygla Public School District,2,690,1,Warroad Public School District
23-24,447,1,Grygla Public School District,1,2906,1,Red Lake County Central Public Schools
23-24,458,1,Truman Public School District,4,837,1,Madelia Public School District
23-24,458,1,Truman Public School District,6,840,1,St. James Public School District
23-24,458,1,Truman Public School District,2,2135,1,Maple River School District
23-24,458,1,Truman Public School District,5,2448,1,Martin County West School District
23-24,458,1,Truman Public School District,4,2536,1,Granada Huntley East Chain
23-24,458,1,Truman Public School District,29,2752,1,Fairmont Area School District
23-24,458,1,Truman Public School District,3,2860,1,Blue Earth Area School District
23-24,463,1,Eden Valley-Watkins School District,54,465,1,Litchfield Public School District
23-24,463,1,Eden Valley-Watkins School District,56,739,1,Kimball Public School District
23-24,463,1,Eden Valley-Watkins School District,60,741,1,Paynesville Area Schools
23-24,463,1,Eden Valley-Watkins School District,3,742,1,St. Cloud Public School District
23-24,463,1,Eden Valley-Watkins School District,46,750,1,ROCORI Public School District
23-24,463,1,Eden Valley-Watkins School District,1,876,1,Annandale Public School District
23-24,463,1,Eden Valley-Watkins School District,8,2396,1,A.C.G.C. Public School District
23-24,465,1,Litchfield Public School District,5,423,1,Hutchinson Public School District
23-24,465,1,Litchfield Public School District,11,463,1,Eden Valley-Watkins School District
23-24,465,1,Litchfield Public School District,23,466,1,Dassel-Cokato Public School District
23-24,465,1,Litchfield Public School District,15,739,1,Kimball Public School District
23-24,465,1,Litchfield Public School District,1,742,1,St. Cloud Public School District
23-24,465,1,Litchfield Public School District,2,750,1,ROCORI Public School District
23-24,465,1,Litchfield Public School District,2,877,1,Buffalo-Hanover-Montrose Schools
23-24,465,1,Litchfield Public School District,75,2396,1,A.C.G.C. Public School District
23-24,466,1,Dassel-Cokato Public School District,13,423,1,Hutchinson Public School District
23-24,466,1,Dassel-Cokato Public School District,113,465,1,Litchfield Public School District
23-24,466,1,Dassel-Cokato Public School District,8,739,1,Kimball Public School District
23-24,466,1,Dassel-Cokato Public School District,14,876,1,Annandale Public School District
23-24,466,1,Dassel-Cokato Public School District,2,877,1,Buffalo-Hanover-Montrose Schools
23-24,466,1,Dassel-Cokato Public School District,29,2687,1,Howard Lake-Waverly-Winsted
23-24,466,1,Dassel-Cokato Public School District,17,2859,1,Glencoe-Silver Lake School District
23-24,473,1,Isle Public School District,20,4,1,McGregor Public School District
23-24,473,1,Isle Public School District,1,113,1,Walker-Hackensack-Akeley School District
23-24,473,1,Isle Public School District,1,181,1,Brainerd Public School District
23-24,473,1,Isle Public School District,21,332,1,Mora Public School District
23-24,473,1,Isle Public School District,6,333,1,Ogilvie Public School District
23-24,473,1,Isle Public School District,72,480,1,Onamia Public School District
23-24,477,1,Princeton Public School District,2,11,1,Anoka-Hennepin Public School District
23-24,477,1,Princeton Public School District,4,15,1,St. Francis Area Schools
23-24,477,1,Princeton Public School District,2,47,1,Sauk Rapids-Rice Public Schools
23-24,477,1,Princeton Public School District,8,51,1,Foley Public School District
23-24,477,1,Princeton Public School District,2,138,1,North Branch Area Public Schools
23-24,477,1,Princeton Public School District,1,197,1,West St. Paul-Mendota Heights-Eagan
23-24,477,1,Princeton Public School District,1,281,1,Robbinsdale Public School District
23-24,477,1,Princeton Public School District,4,314,1,Braham Public School District
23-24,477,1,Princeton Public School District,2,332,1,Mora Public School District
23-24,477,1,Princeton Public School District,1,465,1,Litchfield Public School District
23-24,477,1,Princeton Public School District,1,473,1,Isle Public School District
23-24,477,1,Princeton Public School District,4,480,1,Onamia Public School District
23-24,477,1,Princeton Public School District,1,622,1,North St. Paul-Maplewood Oakdale Public School District
23-24,477,1,Princeton Public School District,1,726,1,Becker Public School District
23-24,477,1,Princeton Public School District,5,727,1,Big Lake Public School District
23-24,477,1,Princeton Public School District,51,728,1,Elk River Public School District
23-24,477,1,Princeton Public School District,4,742,1,St. Cloud Public School District
23-24,477,1,Princeton Public School District,1,885,1,St. Michael-Albertville School District
23-24,477,1,Princeton Public School District,38,911,1,Cambridge-Isanti Public School District
23-24,477,1,Princeton Public School District,133,912,1,Milaca Public School District
23-24,480,1,Onamia Public School District,4,1,1,Aitkin Public School District
23-24,480,1,Onamia Public School District,2,51,1,Foley Public School District
23-24,480,1,Onamia Public School District,11,181,1,Brainerd Public School District
23-24,480,1,Onamia Public School District,2,332,1,Mora Public School District
23-24,480,1,Onamia Public School District,29,473,1,Isle Public School District
23-24,480,1,Onamia Public School District,1,477,1,Princeton Public School District
23-24,480,1,Onamia Public School District,3,482,1,Little Falls Community Schools
23-24,480,1,Onamia Public School District,2,484,1,Pierz Public School District
23-24,480,1,Onamia Public School District,8,912,1,Milaca Public School District
23-24,482,1,Little Falls Community Schools,10,47,1,Sauk Rapids-Rice Public Schools
23-24,482,1,Little Falls Community Schools,4,51,1,Foley Public School District
23-24,482,1,Little Falls Community Schools,8,116,1,Pillager Public School District
23-24,482,1,Little Falls Community Schools,15,181,1,Brainerd Public School District
23-24,482,1,Little Falls Community Schools,4,480,1,Onamia Public School District
23-24,482,1,Little Falls Community Schools,25,484,1,Pierz Public School District
23-24,482,1,Little Falls Community Schools,28,485,1,Royalton Public School District
23-24,482,1,Little Falls Community Schools,31,486,1,Swanville Public School District
23-24,482,1,Little Falls Community Schools,3,487,1,Upsala Public School District
23-24,482,1,Little Falls Community Schools,2,742,1,St. Cloud Public School District
23-24,482,1,Little Falls Community Schools,15,787,1,Browerville Public School District
23-24,482,1,Little Falls Community Schools,14,2170,1,Staples-Motley School District
23-24,482,1,Little Falls Community Schools,7,2753,1,Long Prairie-Grey Eagle School District
23-24,484,1,Pierz Public School District,5,47,1,Sauk Rapids-Rice Public Schools
23-24,484,1,Pierz Public School District,29,51,1,Foley Public School District
23-24,484,1,Pierz Public School District,74,181,1,Brainerd Public School District
23-24,484,1,Pierz Public School District,1,203,1,Hayfield Public School District
23-24,484,1,Pierz Public School District,1,332,1,Mora Public School District
23-24,484,1,Pierz Public School District,125,480,1,Onamia Public School District
23-24,484,1,Pierz Public School District,133,482,1,Little Falls Community Schools
23-24,484,1,Pierz Public School District,22,485,1,Royalton Public School District
23-24,484,1,Pierz Public School District,1,738,1,Holdingford Public School District
23-24,484,1,Pierz Public School District,16,912,1,Milaca Public School District
23-24,485,1,Royalton Public School District,116,47,1,Sauk Rapids-Rice Public Schools
23-24,485,1,Royalton Public School District,5,51,1,Foley Public School District
23-24,485,1,Royalton Public School District,1,181,1,Brainerd Public School District
23-24,485,1,Royalton Public School District,1,480,1,Onamia Public School District
23-24,485,1,Royalton Public School District,55,482,1,Little Falls Community Schools
23-24,485,1,Royalton Public School District,21,484,1,Pierz Public School District
23-24,485,1,Royalton Public School District,11,487,1,Upsala Public School District
23-24,485,1,Royalton Public School District,10,738,1,Holdingford Public School District
23-24,485,1,Royalton Public School District,8,742,1,St. Cloud Public School District
23-24,485,1,Royalton Public School District,7,748,1,Sartell-St. Stephen School District
23-24,486,1,Swanville Public School District,47,482,1,Little Falls Community Schools
23-24,486,1,Swanville Public School District,8,487,1,Upsala Public School District
23-24,486,1,Swanville Public School District,1,738,1,Holdingford Public School District
23-24,486,1,Swanville Public School District,4,787,1,Browerville Public School District
23-24,486,1,Swanville Public School District,1,2170,1,Staples-Motley School District
23-24,486,1,Swanville Public School District,72,2753,1,Long Prairie-Grey Eagle School District
23-24,487,1,Upsala Public School District,15,482,1,Little Falls Community Schools
23-24,487,1,Upsala Public School District,5,485,1,Royalton Public School District
23-24,487,1,Upsala Public School District,19,486,1,Swanville Public School District
23-24,487,1,Upsala Public School District,12,738,1,Holdingford Public School District
23-24,487,1,Upsala Public School District,10,740,1,Melrose Public School District
23-24,487,1,Upsala Public School District,60,2753,1,Long Prairie-Grey Eagle School District
23-24,487,1,Upsala Public School District,1,2754,1,Cedar Mountain School District
23-24,492,1,Austin Public School District,1,77,1,Mankato Public School District
23-24,492,1,Austin Public School District,1,152,1,Moorhead Area Public School District
23-24,492,1,Austin Public School District,21,203,1,Hayfield Public School District
23-24,492,1,Austin Public School District,1,204,1,Kasson-Mantorville School District
23-24,492,1,Austin Public School District,23,241,1,Albert Lea Public School District
23-24,492,1,Austin Public School District,1,330,1,Heron Lake-Okabena School District
23-24,492,1,Austin Public School District,20,497,1,Lyle Public School District
23-24,492,1,Austin Public School District,3,499,1,LeRoy-Ostrander Public Schools
23-24,492,1,Austin Public School District,8,500,1,Southland Public School District
23-24,492,1,Austin Public School District,1,534,1,Stewartville Public School District
23-24,492,1,Austin Public School District,2,625,1,Saint Paul Public Schools
23-24,492,1,Austin Public School District,13,756,1,Blooming Prairie Public School District
23-24,492,1,Austin Public School District,1,761,1,Owatonna Public School District
23-24,492,1,Austin Public School District,1,840,1,St. James Public School District
23-24,492,1,Austin Public School District,1,861,1,Winona Area Public School District
23-24,492,1,Austin Public School District,2,2125,1,Triton School District
23-24,492,1,Austin Public School District,1,2137,1,Kingsland Public School District
23-24,492,1,Austin Public School District,1,2165,1,Hinckley-Finlayson School District
23-24,492,1,Austin Public School District,13,2886,1,Glenville-Emmons School District
23-24,495,1,Grand Meadow Public School District,2,203,1,Hayfield Public School District
23-24,495,1,Grand Meadow Public School District,5,492,1,Austin Public School District
23-24,495,1,Grand Meadow Public School District,22,499,1,LeRoy-Ostrander Public Schools
23-24,495,1,Grand Meadow Public School District,37,500,1,Southland Public School District
23-24,495,1,Grand Meadow Public School District,21,534,1,Stewartville Public School District
23-24,495,1,Grand Meadow Public School District,3,535,1,Rochester Public School District
23-24,495,1,Grand Meadow Public School District,15,2137,1,Kingsland Public School District
23-24,497,1,Lyle Public School District,148,492,1,Austin Public School District
23-24,497,1,Lyle Public School District,2,500,1,Southland Public School District
23-24,497,1,Lyle Public School District,1,756,1,Blooming Prairie Public School District
23-24,497,1,Lyle Public School District,6,2886,1,Glenville-Emmons School District
23-24,499,1,LeRoy-Ostrander Public Schools,3,500,1,Southland Public School District
23-24,499,1,LeRoy-Ostrander Public Schools,14,2137,1,Kingsland Public School District
23-24,500,1,Southland Public School District,18,203,1,Hayfield Public School District
23-24,500,1,Southland Public School District,1,294,1,Houston Public School District
23-24,500,1,Southland Public School District,41,492,1,Austin Public School District
23-24,500,1,Southland Public School District,6,495,1,Grand Meadow Public School District
23-24,500,1,Southland Public School District,24,497,1,Lyle Public School District
23-24,500,1,Southland Public School District,20,499,1,LeRoy-Ostrander Public Schools
23-24,500,1,Southland Public School District,2,2137,1,Kingsland Public School District
23-24,505,1,Fulda Public School District,3,330,1,Heron Lake-Okabena School District
23-24,505,1,Fulda Public School District,6,511,1,Adrian Public School District
23-24,505,1,Fulda Public School District,8,518,1,Worthington Public School District
23-24,505,1,Fulda Public School District,6,2169,1,Murray County Central Schools
23-24,505,1,Fulda Public School District,2,2184,1,Luverne Public School District
23-24,505,1,Fulda Public School District,7,2898,1,Westbrook-Walnut Grove Schools
23-24,505,1,Fulda Public School District,1,2907,1,Round Lake-Brewster Public Schools
23-24,507,1,Nicollet Public School District,21,77,1,Mankato Public School District
23-24,507,1,Nicollet Public School District,23,88,1,New Ulm Public School District
23-24,507,1,Nicollet Public School District,12,508,1,St. Peter Public School District
23-24,507,1,Nicollet Public School District,3,2071,1,Lake Crystal-Wellcome Memorial
23-24,507,1,Nicollet Public School District,8,2310,1,Sibley East School District
23-24,507,1,Nicollet Public School District,5,2365,1,GFW Public Schools
23-24,508,1,St. Peter Public School District,57,77,1,Mankato Public School District
23-24,508,1,St. Peter Public School District,5,88,1,New Ulm Public School District
23-24,508,1,St. Peter Public School District,48,391,1,Cleveland Public School District
23-24,508,1,St. Peter Public School District,23,507,1,Nicollet Public School District
23-24,508,1,St. Peter Public School District,2,761,1,Owatonna Public School District
23-24,508,1,St. Peter Public School District,2,837,1,Madelia Public School District
23-24,508,1,St. Peter Public School District,1,2143,1,Waterville-Elysian-Morristown Public School District
23-24,508,1,St. Peter Public School District,9,2310,1,Sibley East School District
23-24,508,1,St. Peter Public School District,30,2397,1,Le Sueur-Henderson School District
23-24,508,1,St. Peter Public School District,4,2835,1,Janesville-Waldorf-Pemberton
23-24,508,1,St. Peter Public School District,1,2889,1,Lake Park Audubon School District
23-24,508,1,St. Peter Public School District,4,2905,1,Tri-City United School District
23-24,511,1,Adrian Public School District,6,505,1,Fulda Public School District
23-24,511,1,Adrian Public School District,21,514,1,Ellsworth Public School District
23-24,511,1,Adrian Public School District,159,518,1,Worthington Public School District
23-24,511,1,Adrian Public School District,3,2169,1,Murray County Central Schools
23-24,511,1,Adrian Public School District,11,2184,1,Luverne Public School District
23-24,511,1,Adrian Public School District,2,2907,1,Round Lake-Brewster Public Schools
23-24,514,1,Ellsworth Public School District,11,511,1,Adrian Public School District
23-24,514,1,Ellsworth Public School District,4,518,1,Worthington Public School District
23-24,514,1,Ellsworth Public School District,4,671,1,Hills-Beaver Creek School District
23-24,514,1,Ellsworth Public School District,17,2184,1,Luverne Public School District
23-24,518,1,Worthington Public School District,13,1,3,Minneapolis Public School District
23-24,518,1,Worthington Public School District,2,2,1,Hill City Public School District
23-24,518,1,Worthington Public School District,23,11,1,Anoka-Hennepin Public School District
23-24,518,1,Worthington Public School District,6,15,1,St. Francis Area Schools
23-24,518,1,Worthington Public School District,4,16,1,Spring Lake Park Public Schools
23-24,518,1,Worthington Public School District,5,47,1,Sauk Rapids-Rice Public Schools
23-24,518,1,Worthington Public School District,9,51,1,Foley Public School District
23-24,518,1,Worthington Public School District,6,77,1,Mankato Public School District
23-24,518,1,Worthington Public School District,2,88,1,New Ulm Public School District
23-24,518,1,Worthington Public School District,3,108,1,Central Public School District
23-24,518,1,Worthington Public School District,2,110,1,Waconia Public School District
23-24,518,1,Worthington Public School District,6,111,1,Watertown-Mayer Public School District
23-24,518,1,Worthington Public School District,8,112,1,Eastern Carver County Public Schools
23-24,518,1,Worthington Public School District,3,177,1,Windom Public School District
23-24,518,1,Worthington Public School District,7,191,1,Burnsville-Eagan-Savage School District
23-24,518,1,Worthington Public School District,10,192,1,Farmington Public School District
23-24,518,1,Worthington Public School District,14,194,1,Lakeville Area Schools
23-24,518,1,Worthington Public School District,10,196,1,Rosemount-Apple Valley-Eagan
